term,sense,sentence,class,confidence,pred_labels,replace_words,target_words
absorb,absorb#v#2,He absorbed the knowledge or beliefs of his tribe.,metaphorical,0.9,metaphorical,['intent'],['absorbed']
absorb,absorb#v#3,He absorbed the costs for the accident.,metaphorical,0.9,metaphorical,['intent'],['absorbed']
absorb,absorb#v#5,The sales tax is absorbed into the state income tax.,metaphorical,0.8,metaphorical,['steep'],['absorbed']
absorb,absorb#v#8,The immigrants were quickly absorbed into society.,metaphorical,0.8,metaphorical,['captive'],['absorbed']
absorb,absorb#v#9,Her interest in butterflies absorbs her completely.,metaphorical,0.7,literal,['rivet'],['absorbs']
abuse,abuse#v#1,This boss abuses his workers.,literal,0.52,metaphorical,['curse'],['abuses']
abuse,abuse#v#2,Don't abuse the system.,metaphorical,0.5,metaphorical,['stinger'],['abuse']
abuse,abuse#v#3,The actress abused the policeman who gave her a parking ticket.,metaphorical,0.5,metaphorical,['curse'],['abused']
abuse,abuse#v#4,Her husband often abuses alcohol.,metaphorical,0.7,literal,['abuse'],['abuses']
accommodate,accommodate#v#3,Can you accommodate me with a rental car?,literal,0.7,metaphorical,['toilet'],['Can']
accommodate,accommodate#v#4,This hotel can accommodate 250 guests,literal,0.9,metaphorical,['bathroom'],['can']
accommodate,accommodate#v#7,The scientists had to accommodate the new results with the existing theories,literal,0.8,metaphorical,['gear'],['accommodate']
acknowledge,acknowledge#v#2,The program committee acknowledged the submission of the authors of the paper,literal,0.9,metaphorical,['receipt'],['acknowledged']
acknowledge,acknowledge#v#3,He never acknowledges his colleagues when they run into him in the hallway,literal,0.9,metaphorical,['notice'],['acknowledges']
acknowledge,acknowledge#v#4,We must acknowledge the kindness she showed towards us,literal,0.9,literal,['must'],['must']
acknowledge,acknowledge#v#5,acknowledge the deed,literal,0.9,metaphorical,['receipt'],['acknowledge']
acknowledge,acknowledge#v#6,The Crown Prince was acknowledged as the true heir to the throne,literal,0.9,metaphorical,['receipt'],['acknowledged']
acquaint,acquaint#v#1,Permit me to acquaint you with my son.,literal,0.913,metaphorical,['let'],['Permit']
acquaint,acquaint#v#2,You should acquaint yourself with your new computer.,literal,0.6,misc,[''],['should']
acquaint,acquaint#v#3,Please acquaint your colleagues of your plans to move.,literal,0.8,literal,['orient'],['acquaint']
act,act#v#1,think before you act,literal,0.8,literal,['remember'],['think']
act,act#v#10,She acts in this play,literal,0.9,metaphorical,['play'],['acts']
act,act#v#2,You should act like an adult,literal,0.7,misc,[''],['should']
act,act#v#4,She acts as the chair,metaphorical,0.5,literal,['act'],['acts']
act,act#v#6,This scene acts well,metaphorical,0.5,metaphorical,['joke'],['acts']
address,address#v#1,He addressed the crowd outside the window.,literal,0.6,metaphorical,['instrument'],['addressed']
address,address#v#6,He always addresses me with `Sir'.,literal,0.7,metaphorical,['argument'],['addresses']
adhere,adhere#v#1,You must adhere to the rules.,metaphorical,0.6,literal,['must'],['must']
adhere,adhere#v#2,They adhered to their plan.,literal,0.8,metaphorical,['bond'],['adhered']
adhere,adhere#v#4,The residents of this village adhered to Catholicism.,metaphorical,0.6,metaphorical,['bond'],['adhered']
adhere,adhere#v#6,Will this wallpaper adhere to the wall?,literal,0.9167,metaphorical,['volition'],['Will']
administer,administer#v#1,administer a program,literal,0.7,metaphorical,['deal'],['administer']
administer,administer#v#2,administer the last unction,literal,0.9,metaphorical,['pontificate'],['administer']
